Installment Serial,Installment Date,Installment Amount,Max Grace Date
1,2021-03-01,49166.666666666664,2021-03-07
2,2021-06-01,49166.666666666664,2021-06-06
3,2021-09-01,49166.666666666664,2021-09-06
4,2021-12-01,49166.666666666664,2021-12-06
5,2022-03-01,49166.666666666664,2022-03-06
6,2022-06-01,49166.666666666664,2022-06-06
7,2022-09-01,49166.666666666664,2022-09-06
8,2022-12-01,49166.666666666664,2022-12-06
9,2023-03-01,49166.666666666664,2023-03-06
10,2023-06-01,49166.666666666664,2023-06-06
11,2023-09-01,49166.666666666664,2023-09-06
12,2023-12-01,49166.666666666664,2023-12-06
